ARTNO,ARTNAME_UNICODE,SLID_P,SLID_H,MSL,COMPLETE_CAP_INCL_FLEX,SGF_STOCK,MOVED_QTY,FULL_PALLET,OPEN_PICK_QTY
20383521,LACK wll shlf 190x26 white stained oak effect,010710,010710,1,13,0,11,0,0
10401931,BILLY NNN bookcs 40x40x202 white,013300,013300,1,22,66,22,1,0
90263836,BILLY NNN bookcs 40x28x202 black-brown,014800,014800,1,26,26,19,0,5
90392046,BRIMNES N chest/4 drw 78x124 white/frosted glass,060500,060500,2,16,114,6,1,0
80532009,SKRUVBY side tbl 40x32 white,062710,062710,2,46,40,40,1,0
90246328,KOMPL N drawer 75x58 wso eff,062810,062810,1,20,0,20,0,0
30285153,LAPPLAND TV stor ut 183x39x147 black-brown,070700,070700,1,6,12,6,1,0
50245953,BEST� frame 120x40x64 black-brown,070800,070800,1,16,16,16,1,0
30404820,MALM N ottoman bed Stan Dbl white GB,080400,080400,1,6,21,3,1,1
10263802,HEMNES N bed frm Stan Dbl white stain GB,080500,080500,1,8,24,8,1,0
30278727,LUR�Y slat bd bse Stan Kg GB,100100,100100,1,135,0,54,1,2
80261102,MALM N bed frm high Stan Dbl white GB,100300,100300,2,12,36,6,1,5
20263118,MALM N bed frm high Stan Dbl wsov GB,100600,100600,2,12,6,6,1,0
50278726,LUR�Y slat bd bse Stan Dbl GB,100700,100700,1,216,0,54,1,13
50278726,LUR�Y slat bd bse Stan Dbl GB,100700,100700,1,216,0,54,1,13
40281135,MALM bed stor box Si/dbl wso veneer 2-p,101010,101010,1,12,0,12,1,0
40490469,GLADSTAD upholst bed frm Stan Kg Kabusa lgrey GB,101300,101300,1,6,20,4,1,0
90480401,KVISTBRO stor tbl 44 black,131100,131100,1,40,32,32,1,0
80450635,VESTER�Y pckt spr matt Stan Si med firm/lblue GB,140900,140900,2,13,18,6,1,1
40492816,STRANDMON wing chr Kelinge beige GB,142400,142400,1,4,2,2,1,0
90449905,LACK NN cff tbl 90x55 white,152900,152900,2,41,84,28,1,0
90481170,MALM chest/6 drw 80x123 high-gloss white,160600,160600,1,6,0,6,1,0
90309245,KULLEN N chest/6 drw 140x72 white,160800,160800,2,24,72,12,1,6
90320224,ALEFJ�LL office chr Grann beige GB,162110,162110,1,6,4,2,0,0
50434307,LUBBAN trolley tbl w strg rattan/anthracite,170310,170310,1,10,3,8,1,0
50434307,LUBBAN trolley tbl w strg rattan/anthracite,170310,170310,1,10,3,3,0,0
40393661,KULLEN NN chest/5 drw 70x112 black-brown,180300,180300,2,16,24,8,1,2
80424745,HEMNES NN chest/3 drw 108x96 white stain,181200,181200,2,10,10,5,1,0
00458697,IDAN�S chest/6 drw 84x135 dark brown stained,181900,181900,1,3,21,3,1,0
40351741,MICKE desk 105x50 oak effect,190700,190700,1,9,45,6,0,1
60244745,MICKE desk 142x50 black-brown,190800,190800,1,10,30,6,0,0
30392469,HEMNES chest/8 drw 160x96 grey stained,201100,201100,1,5,10,5,1,0
90217972,ADILS leg white,210100,210100,2,840,280,140,1,6
10389364,LOBERGET seat shell white,211200,211200,1,80,200,40,1,2
50453758,RAKKESTAD wrd 2d 79x176 black-brown,220100,220100,1,16,72,8,1,1
80411069,"KUDDARNA chr cushion, out 36x32 beige GB",220210,220210,1,96,0,92,1,0
30439476,NORDKISA open ward w slid dr 120x123 bamboo,223505,223505,1,4,0,2,0,0
50489031,FLINTAN N office chr black GB,230800,230800,1,30,40,10,1,4
30261152,MARKUS N office chr Vissle dark grey GB,231900,231900,2,20,32,8,1,0
10152639,TJUSIG shoe rack 79x32x37 black,233010,233010,1,34,115,25,0,2
30429613,MALM N chest/3 drw 40x78 white,240700,240700,1,24,168,12,1,3
00392461,HEMNES chest/2 drw 54x66 grey stained,240710,240710,3,24,80,16,1,0
50424054,MALM N chest/4 drw 80x100 high-gloss white,240900,240900,1,16,16,8,1,3
80430746,SYVDE dress tbl 100x48 white,241500,241500,1,6,12,6,1,0
10482512,MALM chest/3 drw 80x78 grey stained,241800,241800,2,24,8,8,1,0
70330969,PLATSA frame 80x55x60 white,243300,243300,1,25,0,18,1,0
20329789,PINNIG coat rck w shoe stor bnch 193x37x90 black,243400,243400,1,26,0,24,1,0
80411272,VITVAL bnk bd frm 90x200 white/light grey,252400,252400,1,14,0,10,1,0
30374413,HEMNES N dressing tbl w mirror 100x50 white,260100,260100,1,7,4,4,0,0
60331059,FONNES door 40x120 white,263615,263615,1,16,68,15,0,2
00331062,FONNES door 60x40 white,263710,263710,1,32,54,30,0,0
00464028,TROFAST stor box 42x30x23 grey,270400,270400,2,192,784,112,1,9
10362977,SL�KT bed frm w storage 90x200 white,270800,270800,2,14,28,7,1,0
70320319,NISSEDAL mirror 65x150 black,280300,280300,1,17,26,13,1,1
20320312,NISSEDAL mirror 65x65 white,280600,280600,2,39,39,13,1,1
50458614,LINDBYN mirror 80 black,281110,281110,2,30,0,23,1,0
30248537,SNIGLAR N cot 60x120 beech,290100,290100,1,8,0,8,1,0
50178411,L�TT N table/2 chairs child white/pine,290300,290300,2,84,0,28,1,1
50178411,L�TT N table/2 chairs child white/pine,290300,290300,2,84,0,28,1,1
00152282,INGOLF stool white,301100,301100,1,48,40,40,1,0
50496649,R�SKOG trolley 35x45x78 yellow,301600,301600,1,24,21,21,1,0
30498418,STIG bar stool/backr 63 black/black,342000,342000,1,72,0,68,1,8
00360988,ID�SEN ufrm f tbl top 146x67x76 beige,342900,342900,1,15,0,12,1,1
60460838,VEBJ�RN desk 140x60 beige,343300,343300,1,10,0,8,1,0
90391853,DUVHOLMEN inner seat cshn 62x62 outdoor off-whi GB,350000,350000,2,27,63,9,1,0
80318165,IVAR NNN shelf 83x50 pine,350300,350300,2,237,100,100,1,4
80287809,HEJNE shelf 77x47 cm 2 pack softwood,350600,350600,2,80,0,40,1,2
53755809,IVAR side ut 50x124,370300,370300,2,40,0,34,1,0
10333287,BROR post 190 black 4-p,370610,370610,1,57,0,44,1,0
70228325,RES� child picnic tbl light brown stained,SF1711,SF1711,1,22,0,18,1,0
90313092,"FALHOLMEN table, out 153x73 light brown stained",SF1711,SF1711,1,14,0,12,1,0
90420577,"BONDHOLMEN table, out 108 grey",SF1711,SF1711,1,10,0,8,1,0
70234185,"SKARP� N armchr, out white",SF1712,SF1712,1,36,0,12,1,0
70234185,"SKARP� N armchr, out white",SF1712,SF1712,1,36,0,12,1,0
70234185,"SKARP� N armchr, out white",SF1712,SF1712,1,36,0,12,1,0
80336466,"KROKHOLMEN coffee table, out 73 beige",SF1712,SF1712,1,20,0,16,1,0
10255307,FEJAN chair out foldable white,SF1715,SF1715,1,67,0,58,1,0
20468855,GUNN�N gazebo 238x233 dark grey/grey,SF1717,SF1717,1,34,0,24,1,0
50260284,BAGG�N parasol hang 250 white,SF1717,SF1717,1,14,0,12,1,0
